Parcel Unit,Parcel Number,Landlord License Year,Parcel Address,Latitude,Longitude,Location,Parcel City,Location (state),Location (zip),Zip Code Boundaries,2010 Census Tracts,Commission Districts,Gainesville Police Districts,Florida Census Zip Codes
06386-010-054-1,06386-010-054,2019,00829 NW 42ND  TER,29.660295,-82.387963,POINT (-82.387963 29.660295),GAINESVILLE,FL,32605,5,35,3,6,770
06014-020-073-1,06014-020-073,2019,05526 NW 28TH  TER,29.705515,-82.364586,POINT (-82.364586 29.705515),GAINESVILLE,FL,32653,10,37,2,7,1079
11814-000-000-3,11814-000-000,2019,1314 SE 7TH  AVE,29.645783,-82.3085,POINT (-82.3085 29.645783000000005),GAINESVILLE,FL,32641,9,5,1,1,1082
11814-000-000-4,11814-000-000,2019,1314 SE 7TH  AVE,29.645783,-82.3085,POINT (-82.3085 29.645783000000005),GAINESVILLE,FL,32641,9,5,1,1,1082
11814-000-000-5,11814-000-000,2019,1314 SE 7TH  AVE,29.645783,-82.3085,POINT (-82.3085 29.645783000000005),GAINESVILLE,FL,32641,9,5,1,1,1082
11814-000-000-6,11814-000-000,2019,1314 SE 7TH  AVE,29.645783,-82.3085,POINT (-82.3085 29.645783000000005),GAINESVILLE,FL,32641,9,5,1,1,1082
09792-016-000-1,09792-016-000,2019,210 NW 13TH  AVE,29.663882,-82.32708,POINT (-82.32708 29.663882),GAINESVILLE,FL,32601,1,2,4,1,772
07916-008-000-1,07916-008-000,2019,04103 NW 20TH  TER,29.691035,-82.349785,POINT (-82.349785 29.691035),GAINESVILLE,FL,32605,5,9,2,4,770
09792-016-000-2,09792-016-000,2019,210 NW 13TH  AVE,29.663882,-82.32708,POINT (-82.32708 29.663882),GAINESVILLE,FL,32601,1,2,4,1,772
13762-000-000-1,13762-000-000,2019,00326 NW 9TH  ST,29.654014,-82.333927,POINT (-82.333927 29.654014),GAINESVILLE,FL,32601,1,1,1,1,772
07915-004-010-1,07915-004-010,2019,01920 NW 42ND  AVE,29.692181,-82.347978,POINT (-82.347978 29.692181),GAINESVILLE,FL,32605,5,9,2,4,770
11229-004-000-1,11229-004-000,2019,00110 NE 22ND  ST,29.653181,-82.295869,POINT (-82.295869 29.653181000000004),GAINESVILLE,FL,32641,9,14,1,2,1082
08197-007-019-1,08197-007-019,2019,01807 NE 28TH  AVE,29.677926,-82.30098,POINT (-82.30098 29.677925999999996),GAINESVILLE,FL,32609,4,12,1,2,766
06677-100-027-1,06677-100-027,2014,01645 SW 66TH  DR,29.637601,-82.411923,POINT (-82.41192300000002 29.637601),GAINESVILLE,FL,32608,2,45,3,12,767
11196-000-000-1,11196-000-000,2019,00325 NE 18TH  ST,29.654474,-82.301667,POINT (-82.301667 29.654474),GAINESVILLE,FL,32641,9,14,1,2,1082
11206-006-000-1,11206-006-000,2019,00103 NE 18TH  TER,29.652951,-82.301117,POINT (-82.301117 29.652951),GAINESVILLE,FL,32641,9,14,1,2,1082
08202-088-000-1,08202-088-000,2019,02904 NE 12TH  ST,29.679098,-82.310465,POINT (-82.31046500000001 29.679098),GAINESVILLE,FL,32609,4,12,1,2,766
07902-010-004-1,07902-010-004,2019,04330 NW 21ST  ST,29.694855,-82.351427,POINT (-82.351427 29.694855000000004),GAINESVILLE,FL,32605,5,9,2,4,770
07915-004-016-1,07915-004-016,2019,02030 NW 42ND  AVE,29.69219,-82.350044,POINT (-82.350044 29.69219),GAINESVILLE,FL,32605,5,9,2,4,770
07917-035-000-1,07917-035-000,2019,03900 NW 21ST  DR,29.688867,-82.353127,POINT (-82.353127 29.688866999999995),GAINESVILLE,FL,32605,5,18,2,4,770
07929-003-017-1,07929-003-017,2019,01855 NW 41ST  PL,29.691411,-82.347093,POINT (-82.347093 29.691411),GAINESVILLE,FL,32605,5,9,2,4,770
07915-003-012-1,07915-003-012,2019,04215 NW 20TH  ST,29.692632,-82.348969,POINT (-82.348969 29.692632),GAINESVILLE,FL,32605,5,9,2,4,770
06456-007-000-1,06456-007-000,2019,02636 NW 1ST  AVE,29.652647,-82.362576,POINT (-82.36257600000002 29.652647),GAINESVILLE,FL,32607,7,16,3,6,768
08201-110-000-1,08201-110-000,2019,02315 NE 11TH  TER,29.674325,-82.311317,POINT (-82.311317 29.674325000000003),GAINESVILLE,FL,32609,4,12,2,2,766
