state,county,geoid,lives
FL,Citrus,12017450902,55.7
FL,Citrus,12017451000,54.7
FL,Citrus,12017451101,46.2
FL,Citrus,12017451102,50
FL,Citrus,12017451200,56.6
FL,Citrus,12017451300,51.4
FL,Citrus,12017451400,45.1
FL,Citrus,12017451501,48.6
FL,Citrus,12017451502,48.7
FL,Citrus,12017451601,62.8
FL,Citrus,12017451602,62.3
FL,Citrus,12017451700,60.2
FL,Clay,12019030102,37.5
FL,Clay,12019030103,39.3
FL,Clay,12019030104,37.7
FL,Clay,12019030201,33.5
FL,Clay,12019030202,33
FL,Clay,12019030203,31
FL,Clay,12019030301,38.5
FL,Clay,12019030303,34.6
FL,Clay,12019030304,36.9
FL,Clay,12019030400,35.7
FL,Clay,12019030500,44.2
FL,Clay,12019030600,46.5
FL,Clay,12019030701,46.5
FL,Clay,12019030702,34.2
FL,Clay,12019030703,42.4
FL,Clay,12019030801,46.8
FL,Clay,12019030802,41.7
FL,Clay,12019030902,32.4
FL,Clay,12019030903,42.1
FL,Clay,12019030904,39.6
FL,Clay,12019031101,40.3
FL,Clay,12019031104,42.8
FL,Clay,12019031105,40.1
FL,Clay,12019031106,41.9
FL,Clay,12019031107,56.5
FL,Clay,12019031108,45.7
FL,Clay,12019031200,38.6
FL,Clay,12019031300,44.3
FL,Clay,12019031400,36.5
FL,Clay,12019031500,43.6
FL,Collier,12021000101,65.1
FL,Collier,12021000102,60.4
FL,Collier,12021000200,49.1
FL,Collier,12021000301,62.6
FL,Collier,12021000302,57.5
FL,Collier,12021000401,72
FL,Collier,12021000402,72.9
FL,Collier,12021000500,62.4
FL,Collier,12021000600,54.4
FL,Collier,12021000700,36.2
FL,Collier,12021010102,58
FL,Collier,12021010105,62.1
FL,Collier,12021010106,69.1
FL,Collier,12021010107,44.7
FL,Collier,12021010108,55.4
FL,Collier,12021010109,49.1
FL,Collier,12021010110,40.2
FL,Collier,12021010205,53.8
FL,Collier,12021010208,70.8
FL,Collier,12021010209,65.4
FL,Collier,12021010210,69.5
FL,Collier,12021010211,61.1
FL,Collier,12021010212,47.8
FL,Collier,12021010213,62.9
FL,Collier,12021010215,71.8
FL,Collier,12021010300,42.8
FL,Collier,12021010401,40.1
FL,Collier,12021010405,40.5
FL,Collier,12021010408,43.6
FL,Collier,12021010410,28.4
FL,Collier,12021010411,34
FL,Collier,12021010412,42.7
FL,Collier,12021010413,36.9
FL,Collier,12021010414,39.4
FL,Collier,12021010415,41.5
FL,Collier,12021010416,54.3
FL,Collier,12021010417,45.3
FL,Collier,12021010418,61.1
FL,Collier,12021010419,31.8
FL,Collier,12021010420,28.8
FL,Collier,12021010505,39.6
FL,Collier,12021010506,47.2
FL,Collier,12021010507,47.1
FL,Collier,12021010508,54.1
FL,Collier,12021010509,62.6
FL,Collier,12021010510,72.1
FL,Collier,12021010601,37.8
FL,Collier,12021010602,50.6
FL,Collier,12021010604,49.5
FL,Collier,12021010605,48.8
FL,Collier,12021010606,59.8
FL,Collier,12021010701,42.4
FL,Collier,12021010702,44.5
FL,Collier,12021010801,63.4
FL,Collier,12021010802,34.8
FL,Collier,12021010803,52.8
FL,Collier,12021010902,53.8
FL,Collier,12021010903,58.2
FL,Collier,12021010904,64.1
FL,Collier,12021010905,64.6
FL,Collier,12021011001,70.4
FL,Collier,12021011002,71.3
FL,Collier,12021011102,53.2
FL,Collier,12021011103,51.3
FL,Collier,12021011105,57.9
FL,Collier,12021011106,56
FL,Collier,12021011201,61.6
