year,state,species,pounds,dollars
1997,Rhode Island,"COD, ATLANTIC",69697,36972
1997,Rhode Island,"COD, ATLANTIC",113139,81135
1997,Rhode Island,"COD, ATLANTIC",263216,181925
1997,Rhode Island,"COD, ATLANTIC",28337,18629
1997,Rhode Island,"COD, ATLANTIC",519,572
1996,Connecticut,"COD, ATLANTIC",22279,14769
1996,Maine,"COD, ATLANTIC",3065,1853
1996,Maine,"COD, ATLANTIC",844257,884005
1996,Maine,"COD, ATLANTIC",3486320,2803835
1996,Maine,"COD, ATLANTIC",530487,388408
1996,Massachusetts,"COD, ATLANTIC",285200,124292
1996,Massachusetts,"COD, ATLANTIC",5798557,4773987
1996,Massachusetts,"COD, ATLANTIC",35745,34815
1996,Massachusetts,"COD, ATLANTIC",12879137,11266763
1996,Massachusetts,"COD, ATLANTIC",4175918,3636943
1996,New Hampshire,"COD, ATLANTIC",146349,64192
1996,New Hampshire,"COD, ATLANTIC",335323,230628
1996,New Hampshire,"COD, ATLANTIC",312043,264997
1996,New Hampshire,"COD, ATLANTIC",1989557,1578523
1996,New Jersey,"COD, ATLANTIC",1484,1994
1996,New Jersey,"COD, ATLANTIC",2,4
1996,New Jersey,"COD, ATLANTIC",80,84
1996,Rhode Island,"COD, ATLANTIC",31869,24626
1996,Rhode Island,"COD, ATLANTIC",105187,85936
1996,Rhode Island,"COD, ATLANTIC",237652,223395
1996,Rhode Island,"COD, ATLANTIC",882,596
1996,Rhode Island,"COD, ATLANTIC",17909,25608
1995,Connecticut,"COD, ATLANTIC",21215,27578
1995,Maine,"COD, ATLANTIC",15156,11658
1995,Maine,"COD, ATLANTIC",1174604,1291894
1995,Maine,"COD, ATLANTIC",3346218,3113395
1995,Maine,"COD, ATLANTIC",786285,668881
1995,Maine,"COD, ATLANTIC",1211,1242
1995,Maryland,"COD, ATLANTIC",19,9
1995,Maryland,"COD, ATLANTIC",12,8
1995,Massachusetts,"COD, ATLANTIC",5993806,5379250
1995,Massachusetts,"COD, ATLANTIC",9937388,10048577
1995,Massachusetts,"COD, ATLANTIC",4979621,4623636
1995,Massachusetts,"COD, ATLANTIC",71078,68719
1995,Massachusetts,"COD, ATLANTIC",262131,135083
1995,New Hampshire,"COD, ATLANTIC",172296,80601
1995,New Hampshire,"COD, ATLANTIC",328168,275055
1995,New Hampshire,"COD, ATLANTIC",1738720,1624282
1995,New Hampshire,"COD, ATLANTIC",180,78
