USPS,GEOID,County,POP10,HU10,Num_Female,Num_Male,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,LAT_Youth,LONG_Youth,Distance,Actual_Age,Age_Bias_98,Age_bias_65,Age_bias_45
FL,12009066302,Brevard,4201,2166,2090,2111,2880205,4297354,1.112,1.659,28.1088749,-80.5852524,29.906891,-81.314962,131.473048,48.3,44.7,46.1,46.5
FL,12009066400,Brevard,4994,2930,2602,2392,3078999,940746,1.189,0.363,28.1457522,-80.5888364,29.906891,-81.314962,129.0073812,50.8,44.8,47.1,47.8
FL,12009066500,Brevard,3319,2049,1701,1618,2573155,767919,0.994,0.296,28.1560559,-80.5992578,29.906891,-81.314962,128.1251795,49.6,44.9,46.7,47.2
FL,12009066600,Brevard,4253,1985,2199,2054,2577370,715179,0.995,0.276,28.1660195,-80.5908252,29.906891,-81.314962,127.6532897,50,44.9,46.8,47.5
FL,12009066700,Brevard,4696,2410,2406,2290,3482442,2002560,1.345,0.773,28.180405,-80.6043001,29.906891,-81.314962,126.4426374,46.8,45,45.7,45.9
FL,12009066800,Brevard,1396,664,718,678,1548087,530080,0.598,0.205,28.1918602,-80.5979381,29.906891,-81.314962,125.8325553,31,45,39.8,38
FL,12009066900,Brevard,6084,3304,3057,3027,3858309,4683646,1.49,1.808,28.204262,-80.6116705,29.906891,-81.314962,124.744476,50,45.1,46.9,47.5
FL,12009067100,Brevard,1222,462,539,683,8047495,22632536,3.107,8.738,28.2516298,-80.6100085,29.906891,-81.314962,121.7152268,24.2,45.2,37.3,34.7
FL,12009068101,Brevard,2000,1698,931,1069,1281288,2213299,0.495,0.855,28.2942391,-80.6078422,29.906891,-81.314962,119.0154056,48.3,45.2,46.4,46.8
FL,12009068102,Brevard,3300,1871,1666,1634,5001063,18412962,1.931,7.109,28.2985696,-80.6280397,29.906891,-81.314962,118.3023337,53.8,45.3,48.5,49.5
FL,12009068200,Brevard,2830,1704,1407,1423,3179889,10181777,1.228,3.931,28.3410925,-80.6286051,29.906891,-81.314962,115.5498538,53.1,45.4,48.3,49.2
FL,12009068300,Brevard,2625,3169,1386,1239,1886507,1893264,0.728,0.731,28.3410296,-80.6080301,29.906891,-81.314962,116.0065797,67,45.3,53.5,56.2
FL,12009068400,Brevard,2142,1652,1080,1062,1699567,6242872,0.656,2.41,28.3579064,-80.633033,29.906891,-81.314962,114.3720149,54.9,45.4,49,50.1
FL,12009068501,Brevard,2226,1978,1072,1154,1263248,8134114,0.488,3.141,28.3792488,-80.608655,29.906891,-81.314962,113.5468737,53.2,45.4,48.3,49.3
FL,12009068502,Brevard,2590,2390,1154,1436,1021413,549457,0.394,0.212,28.3860845,-80.598486,29.906891,-81.314962,113.3438307,49.1,45.4,46.8,47.3
FL,12009068601,Brevard,1892,1467,908,984,2981908,4187210,1.151,1.617,28.4044135,-80.6306937,29.906891,-81.314962,111.4397375,49.8,45.5,47.1,47.7
FL,12009068602,Brevard,3803,3110,1896,1907,3243209,1436745,1.252,0.555,28.4023088,-80.6001604,29.906891,-81.314962,112.2718896,52.1,45.5,48,48.8
FL,12009069100,Brevard,4568,2158,2253,2315,9663673,8331767,3.731,3.217,28.3874743,-80.6735943,29.906891,-81.314962,111.5975285,48.3,45.5,46.5,46.9
FL,12009069200,Brevard,2382,1334,1200,1182,1847598,3011641,0.713,1.163,28.3649178,-80.6649113,29.906891,-81.314962,113.2379472,50,45.4,47.1,47.7
FL,12009069300,Brevard,2983,1519,1464,1519,3282135,12963652,1.267,5.005,28.3285107,-80.6611596,29.906891,-81.314962,115.6721484,48.7,45.3,46.6,47
FL,12009069400,Brevard,6113,2594,3102,3011,13021555,41470765,5.028,16.012,28.2410278,-80.6561887,29.906891,-81.314962,121.4548095,49,45.2,46.6,47.1
FL,12009069700,Brevard,2215,1269,1103,1112,1743473,1842560,0.673,0.711,28.3705369,-80.7109934,29.906891,-81.314962,111.9351002,43.9,45.5,44.9,44.7
FL,12009069801,Brevard,3520,1599,1773,1747,3390392,720699,1.309,0.278,28.394204,-80.6994279,29.906891,-81.314962,110.627596,49.4,45.6,47,47.5
FL,12009069802,Brevard,4156,2075,2149,2007,2285820,737424,0.883,0.285,28.3694767,-80.6921843,29.906891,-81.314962,112.3800902,44.5,45.5,45.1,45
FL,12009069901,Brevard,7926,3501,3963,3963,304555660,256400390,117.59,98.997,28.5652865,-80.6787239,29.906891,-81.314962,100.0736231,47.9,45.9,46.6,46.9
FL,12009069902,Brevard,4391,2080,2405,1986,4896165,4092303,1.89,1.58,28.3862427,-80.715815,29.906891,-81.314962,110.8167489,44.6,45.6,45.2,45.1
FL,12009071100,Brevard,3880,2399,1913,1967,249832950,15292698,96.461,5.905,28.6364025,-80.9163702,29.906891,-81.314962,90.75216296,58.7,46.6,51.1,52.7
FL,12009071200,Brevard,12889,5618,6505,6384,202621734,19733582,78.233,7.619,28.4115095,-80.8721105,29.906891,-81.314962,106.4119405,42.1,45.7,44.3,43.9
FL,12009071301,Brevard,4294,1820,2142,2152,756444652,19364057,292.065,7.477,28.0356202,-80.8132988,29.906891,-81.314962,132.4064494,47.2,44.6,45.6,45.9
FL,12009071322,Brevard,9330,3762,4798,4532,14995558,113653,5.79,0.044,27.9839519,-80.645168,29.906891,-81.314962,138.507206,36,44.2,41.1,40.1
FL,12009071332,Brevard,12092,4709,6286,5806,47270318,0,18.251,0,27.9546545,-80.6962929,29.906891,-81.314962,139.5756419,32.4,44.2,39.7,38.3
FL,12009071334,Brevard,8564,3347,4428,4136,11567308,66255,4.466,0.026,28.0208036,-80.6812569,29.906891,-81.314962,135.4454044,38.5,44.4,42.2,41.5
FL,12009071335,Brevard,4755,1891,2414,2341,6727041,61309,2.597,0.024,28.0261945,-80.6608605,29.906891,-81.314962,135.445246,46.6,44.4,45.2,45.5
FL,12009071336,Brevard,6849,3199,3504,3345,5815708,45389,2.245,0.018,28.0057332,-80.6534717,29.906891,-81.314962,136.9246084,45.6,44.3,44.8,45
FL,12009071337,Brevard,7216,2913,3712,3504,7619276,41364,2.942,0.016,28.0255543,-80.7048637,29.906891,-81.314962,134.7324245,38.8,44.5,42.3,41.6
FL,12009071338,Brevard,8265,3246,4221,4044,10274602,27567,3.967,0.011,28.0172496,-80.7248133,29.906891,-81.314962,134.9578685,38.9,44.5,42.4,41.7
FL,12009071339,Brevard,6760,2736,3422,3338,10939866,0,4.224,0,27.9376109,-80.6346622,29.906891,-81.314962,141.7476536,37.6,44,41.6,40.8
FL,12009071340,Brevard,12266,5039,6271,5995,20902507,33817,8.071,0.013,27.9395506,-80.6522336,29.906891,-81.314962,141.313606,39.4,44,42.3,41.7
FL,12009071400,Brevard,3155,2323,1547,1608,3897607,10052225,1.505,3.881,28.5863613,-80.8009724,29.906891,-81.314962,96.10084664,49.3,46.1,47.3,47.7
FL,12009071500,Brevard,2588,1589,1329,1259,3368635,5224937,1.301,2.017,28.3714976,-80.73357,29.906891,-81.314962,111.4344285,52.5,45.5,48.1,49
FL,12009071600,Brevard,4415,2408,2268,2147,5251003,3744179,2.027,1.446,28.3504721,-80.6984641,29.906891,-81.314962,113.4898523,47.5,45.4,46.2,46.5
